date_2020,ID,dateu,PM2.5_daily,temperature
3/5/2022,37781,2022-03-05,0,76.433
3/5/2022,47513,2022-03-05,0,73
3/6/2022,12801,2022-03-06,0,90.933
3/6/2022,37781,2022-03-06,0,89.167
3/6/2022,47513,2022-03-06,0,73
3/7/2022,12801,2022-03-07,0,90.8
3/7/2022,37781,2022-03-07,0,84.867
3/7/2022,47513,2022-03-07,0,73
3/8/2022,12801,2022-03-08,0,81.833
3/8/2022,37781,2022-03-08,0,83.1
3/8/2022,47513,2022-03-08,0,73
3/9/2022,12801,2022-03-09,0,79.1
3/9/2022,37781,2022-03-09,0,68.9
3/9/2022,47513,2022-03-09,0,73
3/10/2022,12801,2022-03-10,0,65.4
3/10/2022,37781,2022-03-10,0,60.967
3/10/2022,47513,2022-03-10,0,73
3/11/2022,12801,2022-03-11,0,67
3/11/2022,37781,2022-03-11,0,72.733
3/11/2022,47513,2022-03-11,0,73
3/12/2022,12801,2022-03-12,0,78.31
3/12/2022,37781,2022-03-12,0,66.067
3/12/2022,47513,2022-03-12,0,NA
3/13/2022,12801,2022-03-13,0,59.9
3/13/2022,37781,2022-03-13,0,61.033
3/13/2022,47513,2022-03-13,0,NA
3/14/2022,12801,2022-03-14,0,77.667
3/14/2022,37781,2022-03-14,0,81.233
3/14/2022,47513,2022-03-14,0,NA
3/15/2022,12801,2022-03-15,0,81.2
3/15/2022,37781,2022-03-15,0,82.9
3/15/2022,47513,2022-03-15,0,NA
3/16/2022,12801,2022-03-16,0,83.833
3/16/2022,37781,2022-03-16,0,81.333
3/16/2022,47513,2022-03-16,0,NA
3/17/2022,12801,2022-03-17,0,81.433
3/17/2022,37781,2022-03-17,0,84.567
3/17/2022,47513,2022-03-17,0,NA
3/18/2022,12801,2022-03-18,0,89.3
3/18/2022,37781,2022-03-18,0,85.167
3/18/2022,47513,2022-03-18,0,NA
3/19/2022,12801,2022-03-19,0,92.333
3/19/2022,37781,2022-03-19,0,86.1
3/19/2022,47513,2022-03-19,0,NA
3/20/2022,12801,2022-03-20,0,82.3
3/20/2022,37781,2022-03-20,0,78.5
3/20/2022,47513,2022-03-20,0,NA
